epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_macro,train_f1_weighted,train_f1_hc,train_f1_ad,train_auroc,train_auroc_macro,train_kappa,train_sensitivity_AD,train_specificity_AD,val_loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_f1_weighted,val_f1_hc,val_f1_ad,val_auroc,val_auroc_macro,val_kappa,val_sensitivity_AD,val_specificity_AD
1,0.6908352327974219,0.569023569023569,0.5685878831851986,0.5614617940199336,0.5616556856866934,0.6190476190476191,0.5038759689922481,0.5840966805731906,0.5840966805731906,0.1372940589116326,0.4391891891595142,0.6979865771343633,0.6881225556135178,0.68,0.6794871794871795,0.6794871794871795,0.68,0.6666666666666666,0.6923076923076923,0.6923076923076924,0.6923076923076924,0.35897435897435903,0.6923076917751478,0.666666666111111
2,0.6842689859239679,0.6801346801346801,0.6802023516543615,0.679422358060741,0.6804908411716497,0.6643109540636042,0.6945337620578779,0.7184395223771762,0.7184395223771762,0.35920147169039995,0.6792452829761481,0.6811594202404957,0.6637740880250931,0.84,0.8365384615384616,0.8376623376623377,0.8384415584415583,0.8181818181818182,0.8571428571428571,0.9487179487179487,0.9487179487179487,0.6774193548387097,0.9230769223668639,0.749999999375
3,0.6691783541127255,0.7272727272727273,0.7326864710751402,0.7268267756770568,0.7281274678310958,0.7378640776699029,0.7157894736842105,0.822840982249609,0.822840982249609,0.45691581822696803,0.7786259541390361,0.6867469879104369,0.6250274479389191,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,0.9935897435897436,0.9935897435897436,0.9196141479099679,0.9999999992307692,0.9166666659027777
4,0.6447185168140813,0.8518518518518519,0.8453650533223954,0.8483709273182958,0.8499953587672885,0.8713450292397661,0.8253968253968254,0.8002461033634127,0.8002461033634127,0.6987551867219917,0.7536231883511867,0.9371069181800561,0.5582782477140427,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
5,0.6020535026725969,0.8484848484848485,0.8457500458463232,0.8464728383858109,0.8483073181819921,0.8288973384030418,0.8640483383685801,0.918806161745828,0.918806161745828,0.6929774183914911,0.8719512194590273,0.8195488721188309,0.46158771216869354,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
6,0.5386818027810046,0.8383838383838383,0.8321671967287596,0.8330679156908665,0.8343718212570672,0.8032786885245902,0.8628571428571429,0.9651522035438437,0.9651522035438437,0.6722758620689655,0.9741935483242455,0.690140845021821,0.3844425082206726,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
7,0.5100393475670564,0.8686868686868687,0.8535923141186299,0.8614225040378058,0.866229804173215,0.8296943231441049,0.8931506849315068,0.9410563445651164,0.9410563445651164,0.7245880590627005,0.9532163742132621,0.7539682539084153,0.33113984763622284,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
8,0.467842687117426,0.8720538720538721,0.8762738853503185,0.8719827586206896,0.8718100545686752,0.8689655172413793,0.875,0.958098271155596,0.958098271155596,0.7456274792643347,0.9499999999321428,0.8025477706495192,0.288118451833725,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
9,0.3790858376183008,0.9191919191919192,0.9188435374149659,0.9190368014538846,0.9190725978549695,0.9225806451612903,0.9154929577464789,0.9758730158730159,0.9758730158730159,0.8382573179033356,0.8843537414364385,0.9533333332697778,0.22577666863799095,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
10,0.3177680965316923,0.9191919191919192,0.9192824095073937,0.9191836734693878,0.9191974163402736,0.9183673469387755,0.92,0.9850766578971242,0.9850766578971242,0.838374676885402,0.9139072847076882,0.9246575341832426,0.18457069620490074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
11,0.36476149606077296,0.8720538720538721,0.8713372040279416,0.8716333030027298,0.8717569997824774,0.8789808917197452,0.8642857142857143,0.9402159121836161,0.9402159121836161,0.7436864098837209,0.8287671232309063,0.9139072847076882,0.15297746658325195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
12,0.30811122687239395,0.898989898989899,0.8984573502722323,0.8987960018173557,0.8989004079871866,0.8943661971830986,0.9032258064516129,0.9725725952813067,0.9725725952813067,0.7976747354557427,0.9210526315183517,0.8758620689051129,0.14725641906261444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
13,0.20705083091008036,0.9663299663299664,0.9666606187063412,0.9663295846181752,0.9663276760592197,0.9664429530201343,0.9662162162162162,0.9840787444434365,0.9840787444434365,0.9326866415846969,0.9470198674869523,0.9863013697954588,0.12731783650815487,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
14,0.22732353288876384,0.9494949494949495,0.9494239317790075,0.9494743288761865,0.9494915127251556,0.9504950495049505,0.9484536082474226,0.9872085639118208,0.9872085639118208,0.8989498037970377,0.9452054793873147,0.9536423840428051,0.12699773348867893,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
15,0.2436111194914893,0.936026936026936,0.9333849376195247,0.9353674878878466,0.9357851383759366,0.9288389513108615,0.9418960244648318,0.9883890356069576,0.9883890356069576,0.8709138739563079,0.9746835442421086,0.8920863308710729,0.12268756702542305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
16,0.17750131868218122,0.9663299663299664,0.9648799781778505,0.9661268248175183,0.9662593084125932,0.96875,0.9635036496350365,0.9992271322058557,0.9992271322058557,0.9323030634573304,0.9361702126995624,0.9935897435260519,0.12181606143712997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
17,0.20970590177335238,0.9562289562289562,0.9561224489795919,0.9562110850260284,0.9562200206274922,0.9553264604810997,0.9570957095709571,0.990204081632653,0.990204081632653,0.9124311083894673,0.9666666666022222,0.945578231228192,0.12071101740002632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
18,0.23125209424056506,0.9461279461279462,0.9454656862745099,0.9459901800327333,0.9460728396898611,0.9487179487179487,0.9432624113475178,0.9881989832970225,0.9881989832970225,0.8920245398773006,0.9236111110469714,0.9673202613746849,0.11798965744674206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
19,0.24665657705382296,0.936026936026936,0.936014873934337,0.9360240349186555,0.9360254854727957,0.9364548494983278,0.9355932203389831,0.986305097043352,0.986305097043352,0.8720495204407863,0.9324324323694302,0.9395973153731814,0.12993242964148521,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
20,0.17648724897911675,0.9696969696969697,0.9687153931339978,0.9691371566465379,0.9696829743707088,0.9649805447470817,0.973293768545994,0.9967238833517903,0.9967238833517903,0.9382750259785244,0.9761904761323695,0.9612403100030046,0.15556816197931767,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
