ablation,link_features,fold,best_val_bacc,loss,accuracy,balanced_accuracy,f1_macro,f1_weighted,f1_hc,f1_ad,auroc,auroc_macro,kappa,sensitivity_AD,specificity_AD
clinical_only,emb,0,1.0,0.4767351746559143,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9613636363636364,0.9613636363636364,0.9523809523809523,0.9545454541115702,0.9999999995
clinical_only,emb,1,1.0,0.5999448200066885,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9681818181818181,0.9681818181818181,0.9523809523809523,0.9545454541115702,0.9999999995
clinical_only,emb,2,0.9615384615384616,0.6655669907728831,0.9047619047619048,0.9090909090909092,0.9045454545454545,0.9043290043290044,0.9090909090909091,0.9,0.990909090909091,0.990909090909091,0.8108108108108107,0.8181818178099173,0.9999999995
clinical_only,emb,3,0.8846153846153846,0.628006229797999,0.9047619047619048,0.9090909090909092,0.9045454545454545,0.9043290043290044,0.9090909090909091,0.9,0.95,0.95,0.8108108108108107,0.8181818178099173,0.9999999995
clinical_only,emb,4,0.9230769230769231,0.40077705681324005,0.9285714285714286,0.9318181818181819,0.9285309132161089,0.9284498825054697,0.9302325581395349,0.926829268292683,0.9659090909090909,0.9659090909090909,0.8577878103837472,0.8636363632438017,0.9999999995
audio_only,emb,0,1.0,0.2919347782929738,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9636363636363636,0.9636363636363636,0.9523809523809523,0.9545454541115702,0.9999999995
audio_only,emb,1,1.0,0.646646628777186,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9727272727272728,0.9727272727272728,0.9523809523809523,0.9545454541115702,0.9999999995
audio_only,emb,2,0.9615384615384616,0.5562874972820282,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9886363636363636,0.9886363636363636,0.9049773755656109,0.9090909086776859,0.9999999995
audio_only,emb,3,0.8846153846153846,0.6398668984572092,0.9047619047619048,0.9090909090909092,0.9045454545454545,0.9043290043290044,0.9090909090909091,0.9,0.9568181818181819,0.9568181818181819,0.8108108108108107,0.8181818178099173,0.9999999995
audio_only,emb,4,0.9615384615384616,0.23463973899682364,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9886363636363636,0.9886363636363636,0.9049773755656109,0.9090909086776859,0.9999999995
text_only,emb,0,1.0,0.6695022384325663,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9659090909090909,0.9659090909090909,0.9523809523809523,0.9545454541115702,0.9999999995
text_only,emb,1,1.0,0.6250317891438802,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9681818181818183,0.9681818181818183,0.9523809523809523,0.9545454541115702,0.9999999995
text_only,emb,2,0.9615384615384616,0.6352767745653788,0.9285714285714286,0.9318181818181819,0.9285309132161089,0.9284498825054697,0.9302325581395349,0.926829268292683,0.9659090909090909,0.9659090909090909,0.8577878103837472,0.8636363632438017,0.9999999995
text_only,emb,3,0.842948717948718,0.440957377354304,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9590909090909091,0.9590909090909091,0.9523809523809523,0.9545454541115702,0.9999999995
text_only,emb,4,0.9615384615384616,0.1962864063680172,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9681818181818181,0.9681818181818181,0.9523809523809523,0.9545454541115702,0.9999999995
multimodal_no_kd,emb,0,1.0,0.2525623266895612,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9625,0.9625,0.9523809523809523,0.9545454541115702,0.9999999995
multimodal_no_kd,emb,1,1.0,0.5968813300132751,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9795454545454546,0.9795454545454546,0.9523809523809523,0.9545454541115702,0.9999999995
