epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_macro,train_f1_weighted,train_f1_hc,train_f1_ad,train_auroc,train_auroc_macro,train_kappa,train_sensitivity_AD,train_specificity_AD,val_loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_f1_weighted,val_f1_hc,val_f1_ad,val_auroc,val_auroc_macro,val_kappa,val_sensitivity_AD,val_specificity_AD
1,0.6897633859985753,0.5286195286195287,0.5471792538671519,0.484375,0.475729517396184,0.3333333333333333,0.6354166666666666,0.6238398544131029,0.6238398544131029,0.0907102869139258,0.8714285713663265,0.22292993629153313,0.6620723605155945,0.88,0.8782051282051282,0.8792270531400965,0.8796135265700482,0.8695652173913043,0.8888888888888888,0.9358974358974359,0.9358974358974359,0.7588424437299035,0.9230769223668639,0.8333333326388889
2,0.6633207954858479,0.7575757575757576,0.7580491565390894,0.752866124260355,0.7527512551551013,0.71875,0.7869822485207101,0.883774714311627,0.883774714311627,0.515607303039913,0.8986486485879291,0.6174496643880906,0.6009078770875931,0.96,0.9615384615384616,0.96,0.96,0.96,0.96,1.0,1.0,0.9201277955271565,0.9230769223668639,0.9999999991666666
3,0.6105023544085654,0.898989898989899,0.8994297445255475,0.8985748110372462,0.8990772859272995,0.9050632911392406,0.8920863309352518,0.9645072992700731,0.9645072992700731,0.7971865610488937,0.9051094889850284,0.8937499999441406,0.5120225697755814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
4,0.5561848965130354,0.9023569023569024,0.9012345679012346,0.9014812696597083,0.902325629760574,0.9107692307692308,0.8921933085501859,0.9617283950617284,0.9617283950617284,0.8029647930821495,0.8888888888230452,0.9135802468571863,0.4183628037571907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
5,0.47031134915979284,0.9292929292929293,0.9299645390070922,0.9292126797489473,0.9293330540649203,0.926829268292683,0.9315960912052117,0.9864975450081833,0.9864975450081833,0.8584655184151406,0.916666666607906,0.9432624112806196,0.3396095335483551,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
6,0.40577681754764755,0.9494949494949495,0.9499090081892629,0.949382477588538,0.9495190506177521,0.9469964664310954,0.9517684887459807,0.9714968152866242,0.9714968152866242,0.8987753061734567,0.9426751591756257,0.9571428570744898,0.2802371047437191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
7,0.36106708292898376,0.9259259259259259,0.9266748366013071,0.9259250861599855,0.9259326440534493,0.9256756756756757,0.9261744966442953,0.9680918663761802,0.9680918663761802,0.851957585644372,0.9019607842547738,0.9513888888228201,0.2458878494799137,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
8,0.3218031329543967,0.9326599326599326,0.9345679012345679,0.9323832073581642,0.9327764485764668,0.9280575539568345,0.9367088607594937,0.9626886145404663,0.9626886145404663,0.8648648648648649,0.9135802468571863,0.9555555554847736,0.22905826196074486,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
9,0.3074323876123679,0.9292929292929293,0.9286040145985401,0.9288281811646297,0.9292735647875836,0.9230769230769231,0.9345794392523364,0.9736770072992701,0.9736770072992701,0.8576579866261953,0.9374999999414062,0.9197080291299483,0.22075137868523598,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
10,0.35476620769814443,0.8855218855218855,0.8869297445255475,0.8852291325695582,0.8856780204297936,0.8910256410256411,0.8794326241134752,0.9473996350364964,0.9473996350364964,0.770625113574414,0.9051094889850284,0.8687499999457031,0.1785806640982628,0.96,0.9615384615384616,0.96,0.96,0.96,0.96,1.0,1.0,0.9201277955271565,0.9230769223668639,0.9999999991666666
