ablation,link_features,fold,best_val_bacc,loss,accuracy,balanced_accuracy,f1_macro,f1_weighted,f1_hc,f1_ad,auroc,auroc_macro,kappa,sensitivity_AD,specificity_AD
clinical_only,plain,0,1.0,0.523564005891482,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9545454545454546,0.9545454545454546,0.9523809523809523,0.9545454541115702,0.9999999995
clinical_only,plain,1,0.9583333333333333,0.6272972126801809,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9659090909090909,0.9659090909090909,0.9523809523809523,0.9545454541115702,0.9999999995
clinical_only,plain,2,0.9615384615384616,0.6757939557234446,0.9047619047619048,0.9090909090909092,0.9045454545454545,0.9043290043290044,0.9090909090909091,0.9,0.884090909090909,0.884090909090909,0.8108108108108107,0.8181818178099173,0.9999999995
clinical_only,plain,3,0.842948717948718,0.656112402677536,0.9285714285714286,0.9318181818181819,0.9285309132161089,0.9284498825054697,0.9302325581395349,0.926829268292683,0.9681818181818183,0.9681818181818183,0.8577878103837472,0.8636363632438017,0.9999999995
clinical_only,plain,4,1.0,0.6705067853132883,0.8571428571428571,0.8522727272727273,0.8541666666666667,0.8551587301587302,0.8333333333333334,0.875,0.9659090909090909,0.9659090909090909,0.7110091743119267,0.9545454541115702,0.749999999625
audio_only,plain,0,1.0,0.641515870889028,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.990909090909091,0.990909090909091,0.9523809523809523,0.9545454541115702,0.9999999995
audio_only,plain,1,1.0,0.2334186149140199,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9954545454545455,0.9954545454545455,0.9049773755656109,0.9090909086776859,0.9999999995
audio_only,plain,2,0.9615384615384616,0.6435037950674692,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9977272727272727,0.9977272727272727,0.9049773755656109,0.9090909086776859,0.9999999995
audio_only,plain,3,0.8814102564102564,0.18397928277651468,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9636363636363636,0.9636363636363636,0.9523809523809523,0.9545454541115702,0.9999999995
audio_only,plain,4,0.9615384615384616,0.2026867394646009,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,1.0,1.0,0.9049773755656109,0.9090909086776859,0.9999999995
text_only,plain,0,1.0,0.6354993085066477,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9772727272727273,0.9772727272727273,0.9523809523809523,0.9545454541115702,0.9999999995
text_only,plain,1,0.9583333333333333,0.6490951379140218,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9590909090909091,0.9590909090909091,0.9523809523809523,0.9545454541115702,0.9999999995
text_only,plain,2,0.9615384615384616,0.641045093536377,0.9285714285714286,0.9318181818181819,0.9285309132161089,0.9284498825054697,0.9302325581395349,0.926829268292683,0.9590909090909091,0.9590909090909091,0.8577878103837472,0.8636363632438017,0.9999999995
text_only,plain,3,0.842948717948718,0.6777793566385905,0.9285714285714286,0.9318181818181819,0.9285309132161089,0.9284498825054697,0.9302325581395349,0.926829268292683,0.9920454545454547,0.9920454545454547,0.8577878103837472,0.8636363632438017,0.9999999995
text_only,plain,4,0.9615384615384616,0.6438547571500143,0.9285714285714286,0.9272727272727272,0.9282051282051282,0.9284493284493285,0.9230769230769231,0.9333333333333333,0.9659090909090909,0.9659090909090909,0.856492027334852,0.9545454541115702,0.89999999955
multimodal_no_kd,plain,0,1.0,0.6465726097424825,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9727272727272728,0.9727272727272728,0.9523809523809523,0.9545454541115702,0.9999999995
multimodal_no_kd,plain,1,1.0,0.21328003952900568,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9806818181818182,0.9806818181818182,0.9523809523809523,0.9545454541115702,0.9999999995
multimodal_no_kd,plain,2,0.9615384615384616,0.6528221269448599,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9931818181818182,0.9931818181818182,0.9049773755656109,0.9090909086776859,0.9999999995
multimodal_no_kd,plain,3,0.8846153846153846,0.653909812370936,0.9285714285714286,0.9318181818181819,0.9285309132161089,0.9284498825054697,0.9302325581395349,0.926829268292683,0.9590909090909091,0.9590909090909091,0.8577878103837472,0.8636363632438017,0.9999999995
multimodal_no_kd,plain,4,0.9615384615384616,0.31906019647916156,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.975,0.975,0.9049773755656109,0.9090909086776859,0.9999999995
multimodal_kd,plain,0,1.0,0.4767642716566722,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9727272727272728,0.9727272727272728,0.9523809523809523,0.9545454541115702,0.9999999995
multimodal_kd,plain,1,1.0,0.14574533825119337,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9931818181818182,0.9931818181818182,0.9523809523809523,0.9545454541115702,0.9999999995
multimodal_kd,plain,2,0.9615384615384616,0.512073203921318,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.990909090909091,0.990909090909091,0.9049773755656109,0.9090909086776859,0.9999999995
multimodal_kd,plain,3,0.8846153846153846,0.518814151485761,0.9285714285714286,0.9318181818181819,0.9285309132161089,0.9284498825054697,0.9302325581395349,0.926829268292683,0.9590909090909091,0.9590909090909091,0.8577878103837472,0.8636363632438017,0.9999999995
multimodal_kd,plain,4,0.9615384615384616,0.16787365078926086,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.975,0.975,0.9523809523809523,0.9545454541115702,0.9999999995
clinical_only,emb,0,1.0,0.2735012670358022,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.975,0.975,0.9049773755656109,0.9090909086776859,0.9999999995
clinical_only,emb,1,1.0,0.3561541239420573,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9840909090909091,0.9840909090909091,0.9523809523809523,0.9545454541115702,0.9999999995
clinical_only,emb,2,0.9615384615384616,0.2763812964161237,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9931818181818182,0.9931818181818182,0.9049773755656109,0.9090909086776859,0.9999999995
clinical_only,emb,3,0.9615384615384616,0.22525392596920332,0.9523809523809523,0.9522727272727273,0.9522727272727273,0.9523809523809523,0.95,0.9545454545454546,0.9954545454545455,0.9954545454545455,0.9045454545454545,0.9545454541115702,0.9499999995249999
clinical_only,emb,4,1.0,0.2274934152762095,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9909090909090909,0.9909090909090909,0.9049773755656109,0.9090909086776859,0.9999999995
audio_only,emb,0,1.0,0.28615016862750053,0.9285714285714286,0.9295454545454545,0.9285309132161089,0.9286119439267483,0.926829268292683,0.9302325581395349,0.9647727272727273,0.9647727272727273,0.8571428571428572,0.9090909086776859,0.9499999995249999
audio_only,emb,1,1.0,0.24205474307139715,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9977272727272728,0.9977272727272728,0.9523809523809523,0.9545454541115702,0.9999999995
audio_only,emb,2,0.9615384615384616,0.34964586297671,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9977272727272728,0.9977272727272728,0.9049773755656109,0.9090909086776859,0.9999999995
audio_only,emb,3,0.9615384615384616,0.1864192821085453,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9704545454545455,0.9704545454545455,0.9523809523809523,0.9545454541115702,0.9999999995
audio_only,emb,4,1.0,0.2351898824175199,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9931818181818182,0.9931818181818182,0.9049773755656109,0.9090909086776859,0.9999999995
text_only,emb,0,1.0,0.2594481408596039,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9784090909090909,0.9784090909090909,0.9049773755656109,0.9090909086776859,0.9999999995
text_only,emb,1,1.0,0.33871103823184967,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9704545454545455,0.9704545454545455,0.9523809523809523,0.9545454541115702,0.9999999995
text_only,emb,2,0.9615384615384616,0.2757436161239942,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9727272727272727,0.9727272727272727,0.9049773755656109,0.9090909086776859,0.9999999995
text_only,emb,3,0.9615384615384616,0.19275404761234918,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9727272727272728,0.9727272727272728,0.9523809523809523,0.9545454541115702,0.9999999995
text_only,emb,4,1.0,0.19573854158322015,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9840909090909091,0.9840909090909091,0.9523809523809523,0.9545454541115702,0.9999999995
multimodal_no_kd,emb,0,1.0,0.26771895090738934,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9954545454545454,0.9954545454545454,0.9049773755656109,0.9090909086776859,0.9999999995
multimodal_no_kd,emb,1,1.0,0.34347838163375854,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9886363636363636,0.9886363636363636,0.9523809523809523,0.9545454541115702,0.9999999995
multimodal_no_kd,emb,2,0.9615384615384616,0.3405771851539612,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9977272727272727,0.9977272727272727,0.9049773755656109,0.9090909086776859,0.9999999995
multimodal_no_kd,emb,3,0.9615384615384616,0.18638580789168677,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9568181818181818,0.9568181818181818,0.9523809523809523,0.9545454541115702,0.9999999995
multimodal_no_kd,emb,4,1.0,0.2515721085170905,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9886363636363636,0.9886363636363636,0.9049773755656109,0.9090909086776859,0.9999999995
multimodal_kd,emb,0,1.0,0.38004136085510254,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9977272727272727,0.9977272727272727,0.9049773755656109,0.9090909086776859,0.9999999995
multimodal_kd,emb,1,1.0,0.48757481575012207,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9863636363636363,0.9863636363636363,0.9523809523809523,0.9545454541115702,0.9999999995
multimodal_kd,emb,2,0.9615384615384616,0.25430774688720703,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9965909090909091,0.9965909090909091,0.9049773755656109,0.9090909086776859,0.9999999995
