ablation,link_features,fold,best_val_bacc,loss,accuracy,balanced_accuracy,f1_macro,f1_weighted,f1_hc,f1_ad,auroc,auroc_macro,kappa,sensitivity_AD,specificity_AD
clinical_only,emb,0,1.0,0.3998953451712926,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9545454545454546,0.9545454545454546,0.9523809523809523,0.9545454541115702,0.9999999995
clinical_only,emb,1,1.0,0.600115696589152,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9681818181818181,0.9681818181818181,0.9523809523809523,0.9545454541115702,0.9999999995
clinical_only,emb,2,0.9615384615384616,0.66567329565684,0.9047619047619048,0.9090909090909092,0.9045454545454545,0.9043290043290044,0.9090909090909091,0.9,0.9886363636363636,0.9886363636363636,0.8108108108108107,0.8181818178099173,0.9999999995
clinical_only,emb,3,0.8846153846153846,0.6282956202824911,0.9047619047619048,0.9090909090909092,0.9045454545454545,0.9043290043290044,0.9090909090909091,0.9,0.9522727272727273,0.9522727272727273,0.8108108108108107,0.8181818178099173,0.9999999995
clinical_only,emb,4,0.9230769230769231,0.40012243886788684,0.9285714285714286,0.9318181818181819,0.9285309132161089,0.9284498825054697,0.9302325581395349,0.926829268292683,0.9636363636363636,0.9636363636363636,0.8577878103837472,0.8636363632438017,0.9999999995
audio_only,emb,0,1.0,0.4582045127948125,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9681818181818181,0.9681818181818181,0.9523809523809523,0.9545454541115702,0.9999999995
audio_only,emb,1,1.0,0.2637994686762492,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9840909090909092,0.9840909090909092,0.9523809523809523,0.9545454541115702,0.9999999995
audio_only,emb,2,0.9615384615384616,0.6341867844263712,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9863636363636363,0.9863636363636363,0.9049773755656109,0.9090909086776859,0.9999999995
audio_only,emb,3,0.8846153846153846,0.6477767825126648,0.8333333333333334,0.8409090909090908,0.8309373202990225,0.8299789150852981,0.851063829787234,0.8108108108108109,0.9568181818181819,0.9568181818181819,0.6711409395973154,0.6818181815082645,0.9999999995
audio_only,emb,4,0.9615384615384616,0.23063907523949942,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9954545454545455,0.9954545454545455,0.9049773755656109,0.9090909086776859,0.9999999995
text_only,emb,0,1.0,0.6671857039133707,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9659090909090909,0.9659090909090909,0.9523809523809523,0.9545454541115702,0.9999999995
text_only,emb,1,1.0,0.20345407476027808,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9681818181818183,0.9681818181818183,0.9523809523809523,0.9545454541115702,0.9999999995
text_only,emb,2,0.9615384615384616,0.6330795089403788,0.9285714285714286,0.9318181818181819,0.9285309132161089,0.9284498825054697,0.9302325581395349,0.926829268292683,0.9659090909090909,0.9659090909090909,0.8577878103837472,0.8636363632438017,0.9999999995
text_only,emb,3,0.842948717948718,0.42925503353277844,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9556818181818183,0.9556818181818183,0.9523809523809523,0.9545454541115702,0.9999999995
text_only,emb,4,0.9615384615384616,0.1876317448914051,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9659090909090908,0.9659090909090908,0.9523809523809523,0.9545454541115702,0.9999999995
multimodal_no_kd,emb,0,1.0,0.5147933810949326,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9704545454545455,0.9704545454545455,0.9523809523809523,0.9545454541115702,0.9999999995
multimodal_no_kd,emb,1,1.0,0.17442137996355692,0.9285714285714286,0.9295454545454545,0.9285309132161089,0.9286119439267483,0.926829268292683,0.9302325581395349,0.9954545454545454,0.9954545454545454,0.8571428571428572,0.9090909086776859,0.9499999995249999
multimodal_no_kd,emb,2,0.9615384615384616,0.5930348535378774,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.990909090909091,0.990909090909091,0.9049773755656109,0.9090909086776859,0.9999999995
multimodal_no_kd,emb,3,0.8814102564102564,0.19478844106197357,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9795454545454546,0.9795454545454546,0.9049773755656109,0.9090909086776859,0.9999999995
multimodal_no_kd,emb,4,0.9615384615384616,0.20858913660049438,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9863636363636364,0.9863636363636364,0.9523809523809523,0.9545454541115702,0.9999999995
