epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_macro,train_f1_weighted,train_f1_hc,train_f1_ad,train_auroc,train_auroc_macro,train_kappa,train_sensitivity_AD,train_specificity_AD,val_loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_f1_weighted,val_f1_hc,val_f1_ad,val_auroc,val_auroc_macro,val_kappa,val_sensitivity_AD,val_specificity_AD
1,0.6379359537049344,0.4175084175084175,0.4181706874659895,0.39441334197654543,0.3940151510190994,0.5126760563380282,0.27615062761506276,0.3735488844549247,0.3735488844549247,-0.16343998369675972,0.2214765100522499,0.6148648648233199,0.5695054233074188,0.28,0.2916666666666667,0.21875,0.21,0.4375,0.0,0.03205128205128206,0.03205128205128206,-0.40625,0.0,0.5833333328472222
2,0.6233159570317519,0.5555555555555556,0.5626023657870791,0.5518518518518518,0.549519890260631,0.5925925925925926,0.5111111111111111,0.5779117379435851,0.5779117379435851,0.1231099579493602,0.4394904458318796,0.6857142856653061,0.5497674345970154,0.76,0.766025641025641,0.7564935064935066,0.7553246753246754,0.7857142857142857,0.7272727272727273,0.9102564102564104,0.9102564102564104,0.5253164556962026,0.6153846149112425,0.9166666659027777
3,0.5974733405991605,0.7609427609427609,0.7586637031661072,0.7555782226188958,0.7561878292466077,0.7917888563049853,0.7193675889328063,0.8312845867731108,0.8312845867731108,0.5196254869353258,0.6232876711901857,0.8940397350401298,0.5165483206510544,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
4,0.5579222330921575,0.8047138047138047,0.808768741481145,0.8040718835304823,0.8035810026255886,0.8152866242038217,0.7928571428571428,0.8717401181281235,0.8717401181281235,0.6121143886512046,0.7161290322118626,0.9014084506407458,0.46843670308589935,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
5,0.5175953727019461,0.7744107744107744,0.773943406493742,0.769807391983342,0.7699169963268523,0.8023598820058997,0.7372549019607844,0.8713041900961364,0.8713041900961364,0.5483966139391326,0.6351351350922205,0.9127516777910905,0.4105890616774559,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
6,0.44267817782728297,0.8619528619528619,0.8574385805277525,0.8596553909986746,0.8606832069518636,0.8776119402985074,0.8416988416988417,0.9503639672429482,0.9503639672429482,0.7207302249845193,0.7785714285158163,0.936305732424439,0.33129941672086716,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
7,0.3932140344067624,0.8754208754208754,0.8716545571599374,0.8731194217691002,0.8751331937144036,0.8560311284046692,0.8902077151335311,0.9407477237193046,0.9407477237193046,0.7463120714730938,0.9036144577768906,0.8396946564244507,0.256173312664032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
8,0.3756229697089446,0.8249158249158249,0.8266733266733267,0.8248661888778009,0.8247569895941482,0.821917808219178,0.8278145695364238,0.929252565616202,0.929252565616202,0.6507462686567165,0.8741258740647464,0.7792207791701804,0.20382164791226387,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
9,0.3390380191175561,0.8148148148148148,0.8159722222222222,0.8147812184640504,0.8147056266748305,0.8172757475083057,0.8122866894197952,0.9267429193899782,0.9267429193899782,0.6302709309431656,0.7777777777269426,0.8541666666073495,0.16925900429487228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
10,0.2895600031080999,0.8619528619528619,0.8611615245009074,0.8615510556774642,0.8617268459229507,0.8540925266903915,0.8690095846645367,0.9506805807622505,0.9506805807622505,0.7233568848399482,0.8947368420463988,0.8275862068394768,0.13871996849775314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
11,0.22604894696881897,0.9090909090909091,0.9085714285714286,0.9087557603686636,0.9088116184890378,0.9142857142857143,0.9032258064516129,0.9649433106575964,0.9649433106575964,0.8179775280898877,0.8571428570845481,0.9599999999359999,0.12319657765328884,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
12,0.2547394978372674,0.8787878787878788,0.8822285870158211,0.8787205081669691,0.8785761425507342,0.881578947368421,0.8758620689655172,0.9543098745226405,0.9543098745226405,0.7587653986733451,0.814102564050378,0.950354609861677,0.10206535272300243,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
13,0.23679398882545924,0.8787878787878788,0.8794934640522876,0.8787865046254308,0.8787988720874627,0.8783783783783784,0.8791946308724832,0.9585375816993463,0.9585375816993463,0.7577487765089722,0.856209150270836,0.9027777777150848,0.10802615620195866,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
14,0.2553224324395782,0.8720538720538721,0.8718239564428312,0.8719362745098039,0.8720277392663014,0.8758169934640523,0.8680555555555556,0.9540834845735027,0.9540834845735027,0.7438841737393909,0.8620689654577883,0.8815789473104224,0.1104368269443512,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
15,0.18577542803005168,0.9225589225589226,0.9219600725952812,0.9223864656357583,0.9224726940973403,0.9260450160771704,0.9187279151943463,0.9770644283121598,0.9770644283121598,0.8448593036724126,0.8965517240760998,0.9473684209903046,0.11746218055486679,0.96,0.9615384615384616,0.96,0.96,0.96,0.96,1.0,1.0,0.9201277955271565,0.9230769223668639,0.9999999991666666
16,0.18179300211762128,0.9057239057239057,0.9064542483660131,0.9057228369308906,0.9057324560680267,0.9054054054054054,0.9060402684563759,0.9779638707334787,0.9779638707334787,0.8115823817292006,0.8823529411188004,0.9305555554909336,0.11391380429267883,0.96,0.9615384615384616,0.96,0.96,0.96,0.96,0.9935897435897436,0.9935897435897436,0.9201277955271565,0.9230769223668639,0.9999999991666666
17,0.20360924872128586,0.9090909090909091,0.9105767467449111,0.9084933757830954,0.9092651896390215,0.9010989010989011,0.9158878504672897,0.9727214377406932,0.9727214377406932,0.8170890262539632,0.8963414633599791,0.9248120300056532,0.15416246838867664,0.92,0.9166666666666667,0.9188311688311688,0.9192207792207792,0.9090909090909091,0.9285714285714286,1.0,1.0,0.8387096774193549,0.9999999992307692,0.8333333326388889
18,0.18371930091004623,0.9292929292929293,0.9296532846715329,0.9289708344247173,0.9293412435231609,0.924187725631769,0.9337539432176656,0.9764370437956205,0.9764370437956205,0.8579562276526452,0.9249999999421874,0.9343065692748681,0.1393907181918621,0.92,0.9198717948717949,0.9198717948717949,0.92,0.9166666666666666,0.9230769230769231,0.9935897435897436,0.9935897435897436,0.8397435897435898,0.9230769223668639,0.9166666659027777
