ablation,fold,best_val_bacc,loss,accuracy,balanced_accuracy,f1_macro,f1_weighted,f1_hc,f1_ad,auroc,auroc_macro,kappa,sensitivity_AD,specificity_AD
clinical_only,0,1.0,0.6101895471413931,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9613636363636364,0.9613636363636364,0.9523809523809523,0.9545454541115702,0.9999999995
clinical_only,1,1.0,0.20301326115926108,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9545454545454546,0.9545454545454546,0.9523809523809523,0.9545454541115702,0.9999999995
clinical_only,2,0.9615384615384616,0.6591898600260416,0.9285714285714286,0.9318181818181819,0.9285309132161089,0.9284498825054697,0.9302325581395349,0.926829268292683,0.9659090909090909,0.9659090909090909,0.8577878103837472,0.8636363632438017,0.9999999995
clinical_only,3,0.842948717948718,0.6029553810755411,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9659090909090909,0.9659090909090909,0.9523809523809523,0.9545454541115702,0.9999999995
clinical_only,4,0.9615384615384616,0.19663947199781737,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9659090909090909,0.9659090909090909,0.9523809523809523,0.9545454541115702,0.9999999995
audio_only,0,1.0,0.5953239103158315,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.990909090909091,0.990909090909091,0.9523809523809523,0.9545454541115702,0.9999999995
audio_only,1,1.0,0.5336423317591349,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9704545454545455,0.9704545454545455,0.9523809523809523,0.9545454541115702,0.9999999995
audio_only,2,0.9615384615384616,0.6443104942639669,0.9285714285714286,0.9318181818181819,0.9285309132161089,0.9284498825054697,0.9302325581395349,0.926829268292683,0.9795454545454546,0.9795454545454546,0.8577878103837472,0.8636363632438017,0.9999999995
audio_only,3,0.8814102564102564,0.1793636033932368,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9704545454545455,0.9704545454545455,0.9523809523809523,0.9545454541115702,0.9999999995
audio_only,4,1.0,0.20663811763127646,0.9523809523809523,0.9522727272727273,0.9522727272727273,0.9523809523809523,0.95,0.9545454545454546,0.9954545454545455,0.9954545454545455,0.9045454545454545,0.9545454541115702,0.9499999995249999
text_only,0,1.0,0.6018671492735544,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9613636363636364,0.9613636363636364,0.9523809523809523,0.9545454541115702,0.9999999995
text_only,1,1.0,0.21119817594687143,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9659090909090909,0.9659090909090909,0.9049773755656109,0.9090909086776859,0.9999999995
text_only,2,0.9615384615384616,0.4369255105654399,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9659090909090909,0.9659090909090909,0.9523809523809523,0.9545454541115702,0.9999999995
text_only,3,0.842948717948718,0.5882789393266042,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9659090909090909,0.9659090909090909,0.9523809523809523,0.9545454541115702,0.9999999995
text_only,4,0.9615384615384616,0.20990530649820963,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9659090909090909,0.9659090909090909,0.9523809523809523,0.9545454541115702,0.9999999995
multimodal_no_kd,0,1.0,0.6569386521975199,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.990909090909091,0.990909090909091,0.9523809523809523,0.9545454541115702,0.9999999995
multimodal_no_kd,1,1.0,0.5455984671910604,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9772727272727273,0.9772727272727273,0.9523809523809523,0.9545454541115702,0.9999999995
multimodal_no_kd,2,0.9615384615384616,0.6781275371710459,0.9523809523809523,0.9545454545454546,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9659090909090909,0.9659090909090909,0.9049773755656109,0.9090909086776859,0.9999999995
