epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_macro,train_f1_weighted,train_f1_hc,train_f1_ad,train_auroc,train_auroc_macro,train_kappa,train_sensitivity_AD,train_specificity_AD,val_loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_f1_weighted,val_f1_hc,val_f1_ad,val_auroc,val_auroc_macro,val_kappa,val_sensitivity_AD,val_specificity_AD
1,0.7972986070733321,0.38047138047138046,0.38010157808815526,0.37272727272727274,0.3729619426589124,0.30303030303030304,0.44242424242424244,0.3542535824415019,0.3542535824415019,-0.23997095661644563,0.48993288587315886,0.2702702702520087,0.6847118139266968,0.64,0.625,0.5714285714285714,0.5782857142857144,0.4,0.7428571428571429,0.8365384615384616,0.8365384615384616,0.25742574257425743,0.9999999992307692,0.24999999979166665
2,0.7670450398796483,0.6868686868686869,0.6846433439345752,0.6848105165862175,0.685925358822555,0.6593406593406593,0.7102803738317757,0.7637437528396183,0.7637437528396183,0.37049023406340453,0.7354838709202913,0.6338028168567744,0.6276553869247437,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
3,0.7027853052867087,0.9225589225589226,0.922077922077922,0.9223864656357583,0.9225219675039588,0.9260450160771704,0.9187279151943463,0.955226591590228,0.955226591590228,0.8447888027993002,0.9090909090273362,0.9350649350042165,0.5454587787389755,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
4,0.6239661009688127,0.9090909090909091,0.9098304621274269,0.9088263049583301,0.90917359788234,0.9039145907473309,0.9137380191693291,0.9623553003372528,0.9623553003372528,0.8177044261065266,0.8993710691258257,0.9202898550057761,0.4573158323764801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
5,0.5421611313757143,0.9158249158249159,0.9158109950022717,0.915687276443536,0.9158363857733642,0.9122807017543859,0.919093851132686,0.9640163562017267,0.9640163562017267,0.8313764676492631,0.9161290321989594,0.9154929576820074,0.37955570966005325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
6,0.46325037589198664,0.9158249158249159,0.9164620840152755,0.9157293806535087,0.9158726834106196,0.9128919860627178,0.9185667752442996,0.9551963993453355,0.9551963993453355,0.831506569541834,0.903846153788215,0.9290780141185051,0.31313762068748474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
7,0.4255204247800927,0.9124579124579124,0.9121732026143791,0.9123376623376623,0.9124360487996852,0.9155844155844156,0.9090909090909091,0.9530455700798839,0.9530455700798839,0.8246832856559052,0.9027777777150848,0.9215686273907471,0.2630813643336296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
8,0.3814193457365036,0.9023569023569024,0.9047999634636463,0.9021394566711736,0.9025277525385464,0.8975265017667845,0.9067524115755627,0.9515208257215931,0.9515208257215931,0.8045476206685275,0.8757763974611319,0.9338235293431012,0.226027961820364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
9,0.3581828624010086,0.9158249158249159,0.9146841673502871,0.9152716442436069,0.9157557568772521,0.9221183800623053,0.9084249084249084,0.9694193783611338,0.9694193783611338,0.8305606900800986,0.8985507245725687,0.930817610004351,0.1972643807530403,0.96,0.9615384615384616,0.96,0.96,0.96,0.96,1.0,1.0,0.9201277955271565,0.9230769223668639,0.9999999991666666
10,0.27953410462329265,0.9292929292929293,0.9292517006802721,0.9292801015953647,0.9292897223685382,0.9302325581395349,0.9283276450511946,0.9837414965986395,0.9837414965986395,0.8585618069256412,0.9251700679642741,0.933333333271111,0.17287983372807503,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
11,0.3237144735298659,0.898989898989899,0.8963375796178343,0.8980175808076183,0.8985875604317138,0.9079754601226994,0.8880597014925373,0.9569836214740673,0.9569836214740673,0.7963707834354146,0.8499999999392857,0.9426751591756257,0.16405587270855904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
12,0.29947623688923686,0.9158249158249159,0.9157446036640667,0.9157637982869136,0.9157714379791638,0.9180327868852459,0.9134948096885813,0.9593687647378922,0.9593687647378922,0.8316211987210014,0.8918918918316289,0.9395973153731814,0.176237178966403,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
13,0.27244965732097626,0.9259259259259259,0.9256824385805278,0.9256824385805278,0.9259259259259259,0.9299363057324841,0.9214285714285714,0.9736123748862602,0.9736123748862602,0.8513648771610555,0.921428571362755,0.9299363056732525,0.15593297593295574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
14,0.25149648675793096,0.9225589225589226,0.9221110100090992,0.922273425499232,0.922543061611162,0.926984126984127,0.9175627240143369,0.9787079162875341,0.9787079162875341,0.8445486198029265,0.9142857142204082,0.9299363056732525,0.14745893143117428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
15,0.2834024201882513,0.9259259259259259,0.9258343914384183,0.9258578431372549,0.9258654078915519,0.9281045751633987,0.9236111111111112,0.9663069109377835,0.9663069109377835,0.8518232946298985,0.8986486485879291,0.9530201341642268,0.18093188293278217,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
16,0.28592945478464427,0.9057239057239057,0.9057142857142857,0.9057142857142857,0.9057239057239057,0.9066666666666666,0.9047619047619048,0.9719274376417232,0.9719274376417232,0.8114285714285714,0.9047619047003563,0.9066666666062222,0.15242402628064156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
